Array size;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100
insertionSort - ../arrays/4100-reversed.txt;7087.60;26600.10;59587.40;103150.00;160133.40;229349.90;310541.40;404720.80;511225.00;632137.50;762896.00;905504.10;1063341.70;1230179.20;1414770.80;1606700.00;1810745.70;2036941.80;2261229.30;2501675.10;2757337.60;3031891.70;3309879.10;3597708.40;3910383.40;4218320.90;4552083.30;4894479.10;5250233.20;5612983.10;5999891.60;6384220.80;6793100.10;7209983.50;7637437.30;8077870.80;8533550.10;8999625.00;9477145.70;9971358.50;10475454.40
mergeSort - ../arrays/4100-0-5.txt;11412.50;22608.30;35300.10;46145.90;59449.80;72550.10;83166.70;95841.80;107970.80;122800.00;135849.90;150070.70;158758.30;172650.10;189341.60;199095.80;209325.00;222670.70;237283.20;252696.00;267054.00;278841.60;286983.10;310270.80;317249.90;328804.30;348620.60;356887.50;374416.60;384258.40;395479.40;410212.40;419366.60;432949.90;449016.40;457116.50;474412.40;486304.40;508325.00;527366.60;540700.20
mergeSort - ../arrays/4100-0-4000.txt;11125.00;23045.80;38525.10;50187.40;67250.00;80825.10;94020.80;108412.50;121808.20;141212.70;156720.70;172345.70;182208.40;199912.60;216629.20;230966.60;244650.00;257258.30;279683.40;300733.40;317862.40;330595.90;341541.50;363537.40;374387.40;386395.90;410679.10;421220.70;441062.30;456062.50;468624.90;487762.50;496754.10;514487.60;532391.80;542541.70;571374.80;590178.90;608591.60;627637.50;648758.30
mergeSort - ../arrays/4100-almost-sorted.txt;10925.00;21095.90;33316.90;43775.20;55445.90;67941.60;77704.10;88616.50;98245.90;113712.60;128129.00;139308.30;146208.20;160508.50;172199.80;181841.50;195420.80;202108.30;216687.40;232954.00;248712.50;264483.30;272587.70;285483.10;290787.60;302700.10;317954.20;329716.80;341220.80;353062.70;363645.70;373862.50;386983.30;399345.80;406621.00;410570.90;430162.70;442933.40;461858.50;480012.60;491316.60
mergeSort - ../arrays/4100-reversed.txt;10020.80;20262.50;31620.80;42245.80;54591.60;64899.80;77279.10;86358.20;96704.20;112008.40;123383.40;134071.00;144812.60;156529.00;167766.70;178075.00;190549.80;198779.10;213324.90;230775.00;243191.60;254537.30;265045.70;275616.70;288033.30;297987.30;308454.20;321808.30;336429.10;344208.30;358925.10;365795.80;374587.60;389504.30;402945.60;409170.70;427787.50;438095.60;458358.20;472975.00;486037.70
pyramideSort - ../arrays/4100-0-5.txt;15624.90;30720.80;47416.70;63420.60;79500.00;99041.60;117308.20;133250.00;148395.90;167429.40;189429.20;206962.70;224441.70;242437.50;261216.60;276225.00;294829.10;314100.00;330633.20;349541.70;377470.70;396966.60;416362.30;435637.50;452079.30;469175.00;488716.60;507758.30;526174.80;545479.30;562500.30;580658.20;599999.90;617579.00;637550.00;651695.90;672433.20;688337.60;708483.20;730841.80;765229.20
pyramideSort - ../arrays/4100-0-4000.txt;16320.90;34895.80;55866.60;74929.20;95400.10;119254.10;139924.90;161533.30;182712.60;204070.90;232037.60;256154.30;279574.90;301237.70;323937.50;347045.80;368533.20;392237.50;420120.80;439124.90;472299.90;496658.00;523950.00;546816.50;570966.60;594137.30;617687.40;643208.30;666999.90;692029.20;718595.70;741791.80;769408.30;789904.30;816041.80;842891.60;867296.10;892541.80;917170.80;946179.30;989325.20
pyramideSort - ../arrays/4100-almost-sorted.txt;16804.10;34754.10;53745.90;72079.20;90212.40;112175.10;131874.90;151220.80;171754.20;189904.20;215745.90;237216.80;258854.00;277425.00;298808.30;319696.00;342925.00;361966.60;381820.70;402316.70;432891.60;456662.40;479600.00;501179.20;520179.30;543045.70;566195.80;587958.40;608824.90;630316.40;656025.00;675529.20;696645.60;720375.10;741870.70;764033.20;784716.60;807341.60;827654.00;850445.70;893329.10
pyramideSort - ../arrays/4100-reversed.txt;15050.00;31333.40;51704.10;66446.00;83287.50;104645.90;121612.40;140995.90;159637.50;177300.00;202237.30;221741.70;240925.20;261179.10;280596.00;299141.70;319375.10;339483.30;360454.30;378391.70;410870.60;428833.20;450333.40;472875.00;490296.00;519971.00;533637.70;552237.40;573429.00;594599.80;616429.10;637637.40;658470.80;680741.40;702033.30;724512.30;744341.50;764058.60;788212.50;809204.10;845775.00
quickSort - ../arrays/4100-0-5.txt;2416.70;4941.80;8003.80;13150.00;15462.60;18175.10;21954.10;24287.40;28604.00;32579.20;36654.00;38979.20;44204.10;48695.90;53216.40;57358.20;61754.30;64754.20;70404.10;73445.80;77562.60;80712.50;86995.80;91521.10;93453.90;97204.20;102637.90;108737.60;112404.10;119350.10;118420.90;123641.90;129366.70;131654.30;141087.60;143862.60;145346.10;153125.00;155212.50;155866.70;162687.60
quickSort - ../arrays/4100-0-4000.txt;2449.90;5595.90;9949.90;15558.20;19191.60;25220.80;33850.10;36691.70;45383.20;54891.70;59945.90;67404.20;74833.10;82191.40;88637.30;97262.50;104083.40;110337.70;119766.60;127862.70;130149.90;136929.30;147487.70;150683.50;159770.90;169424.80;173779.10;184103.90;191341.80;199975.20;205845.70;212620.60;221291.80;228258.10;230929.20;242104.40;248066.60;258762.50;263466.60;276591.70;284000.00
quickSort - ../arrays/4100-almost-sorted.txt;1283.20;2591.90;4316.70;5529.00;6895.90;8395.70;10425.10;11529.20;13158.50;14141.40;15912.60;17487.40;19695.70;21416.70;26120.80;24295.80;26429.00;27304.10;28804.00;29925.10;32104.00;33295.90;35195.80;37137.50;38529.00;40470.70;43137.50;44483.30;45837.60;47833.30;49745.90;50995.90;52333.20;54541.60;55295.90;57566.60;58512.70;59674.90;60687.60;62066.70;64516.70
quickSort - ../arrays/4100-reversed.txt;1233.40;2516.70;3608.40;5275.00;5971.10;7633.20;9508.30;11145.80;11937.40;12562.60;14195.90;15949.90;17846.00;19658.40;21499.70;23279.10;23891.60;24920.70;25675.10;26496.00;28187.40;29662.60;31170.90;33349.90;35716.80;37420.90;39400.00;41145.70;43354.20;44774.90;48062.30;48833.20;48720.70;49795.80;50670.80;52033.00;54175.10;53812.60;54783.60;55587.60;56524.70
